case,endurance_h,fuel_burned_kg,degradation_proxy,efficiency,total_mass_kg,parameter,delta_pct,endurance_h_shift_pct,fuel_burned_kg_shift_pct,degradation_proxy_shift_pct,efficiency_shift_pct,total_mass_kg_shift_pct
sfc_ref_-10%,3.3233333333333333,71.87295747620249,0.5960186421974578,0.1977654727661862,926.0653876134619,sfc_ref,-10.0,10.675300647548564,-2.191413879957512,1.133557845464546,10.286353545903102,0.0
sfc_ref_+0%,3.0027777777777778,73.48328027969991,0.5893381533241362,0.17931998511844238,926.0653876134619,sfc_ref,0.0,0.0,0.0,0.0,0.0,0.0
sfc_ref_+10%,2.7402777777777776,73.8276632005167,0.5165249681001359,0.16648812645247296,926.0653876134619,sfc_ref,10.0,-8.741905642923225,0.4686548008008857,-12.355077439548188,-7.155844150608125,0.0
battery_specific_energy_-10%,3.0027777777777778,73.48328027969991,0.5893381533241362,0.17931998511844238,937.6595905120125,battery_specific_energy,-10.0,0.0,0.0,0.0,0.0,1.251985340736008
battery_specific_energy_+0%,3.0027777777777778,73.48328027969991,0.5893381533241362,0.17931998511844238,926.0653876134619,battery_specific_energy,0.0,0.0,0.0,0.0,0.0,0.0
battery_specific_energy_+10%,3.0027777777777778,73.48328027969991,0.5893381533241362,0.17931998511844238,916.5792216055568,battery_specific_energy,10.0,0.0,0.0,0.0,0.0,-1.024351642420377
motor_inv_eta_peak_-10%,2.703333333333333,73.6509157088295,0.8637466166083648,0.16507592555503248,937.5700575703077,motor_inv_eta_peak,-10.0,-9.9722479185939,0.22812730799648234,46.56214123189542,-7.943375387858516,1.2423172392280133
motor_inv_eta_peak_+0%,3.0027777777777778,73.48328027969991,0.5893381533241362,0.17931998511844238,926.0653876134619,motor_inv_eta_peak,0.0,0.0,0.0,0.0,0.0,0.0
motor_inv_eta_peak_+10%,3.236666666666667,71.20874386894411,0.24823132601901796,0.19572861956816756,924.172294172063,motor_inv_eta_peak,10.0,7.789084181313603,-3.0953114805139577,-57.87964437413732,9.150477253769086,-0.20442330171496703
generator_eta_peak_-10%,2.713611111111111,73.87231075945186,0.5091491799696778,0.1651757097523924,930.0500861415424,generator_eta_peak,-10.0,-9.629972247918591,0.5294136003063317,-13.606614963269559,-7.8877295002604235,0.4302826324552866
generator_eta_peak_+0%,3.0027777777777778,73.48328027969991,0.5893381533241362,0.17931998511844238,926.0653876134619,generator_eta_peak,0.0,0.0,0.0,0.0,0.0,0.0
generator_eta_peak_+10%,3.2916666666666665,72.05944593464115,0.5980082507156168,0.1958558677413348,922.8051797268505,generator_eta_peak,10.0,9.620721554116555,-1.937630355693451,1.4711583396692216,9.221438765997172,-0.3520494265543377
